"","car_id","actual","predict","hit"
"1","2668","A","A",1
"2","2668","A","A",1
"3","2668","A","A",1
"4","2668","A","A",1
"5","2668","A","A",1
"6","2668","A","A",1
"7","2668","A","A",1
"8","2668","A","A",1
"9","2668","A","A",1
"10","2668","A","A",1
"11","2668","A","A",1
"12","2668","A","A",1
"13","2668","A","A",1
"14","2668","A","A",1
"15","2668","A","A",1
"16","2668","A","A",1
"17","2668","A","A",1
"18","2668","A","A",1
"19","2668","A","A",1
"20","2668","A","A",1
"21","2668","A","A",1
"22","2668","A","A",1
"23","2668","A","A",1
"24","2668","A","A",1
"25","2668","A","A",1
"26","2668","A","A",1
"27","2668","A","A",1
"28","2668","A","A",1
"29","2668","A","A",1
"30","2668","A","A",1
"31","2668","A","A",1
"32","2668","A","A",1
"33","2668","A","A",1
"34","2668","A","A",1
"35","2668","A","A",1
"36","2668","A","A",1
"37","2668","A","A",1
"38","2668","A","A",1
"39","2668","A","A",1
"40","2668","A","A",1
"41","2668","A","A",1
"42","2668","A","A",1
"43","2668","A","A",1
"44","2668","A","A",1
"45","2668","A","A",1
"46","2668","A","A",1
"47","2668","A","A",1
"48","2668","A","A",1
"49","2668","A","A",1
"50","2668","A","A",1
"51","2668","A","A",1
"52","2668","A","A",1
"53","2668","A","A",1
"54","2668","A","A",1
"55","2668","A","A",1
"56","2668","A","A",1
"57","2668","A","A",1
"58","2668","A","A",1
"59","2668","A","A",1
"60","2668","A","A",1
"61","2668","A","A",1
"62","2668","A","A",1
"63","2668","A","A",1
"64","2668","A","A",1
"65","2668","A","A",1
"66","2668","A","A",1
"67","2668","A","A",1
"68","2668","A","A",1
"69","2668","A","A",1
"70","2668","A","A",1
"71","2668","A","A",1
"72","2668","A","A",1
"73","2668","A","A",1
"74","2668","A","A",1
"75","2668","A","A",1
"76","2668","A","A",1
"77","2668","A","A",1
"78","2668","A","A",1
"79","2668","A","A",1
"80","2668","A","A",1
"81","2668","A","A",1
"82","2668","A","A",1
"83","2668","A","A",1
"84","2668","A","A",1
"85","2668","A","A",1
"86","2668","A","A",1
"87","2668","A","A",1
"88","2668","A","A",1
"89","2668","A","A",1
"90","2668","A","A",1
"91","2668","A","A",1
"92","2668","A","A",1
"93","2668","A","A",1
"94","2668","A","A",1
"95","2668","A","A",1
"96","2668","A","A",1
"97","2668","A","A",1
"98","2668","A","A",1
"99","2668","A","A",1
"100","2668","A","A",1
"101","2668","A","A",1
